amplified_author_handle,in_member_list,total_inbound_retweets,unique_amplifier_count,unique_amplified_posts,top_amplifier_handle,top_amplifier_count,top_amplifier_share,amplification_hhi,repeat_crew_overlap,median_first_retweet_lag_sec,fastest_amplifier_handle,cross_component_reach,within_15m_inbound,within_60m_inbound,top_first_retweeter_handle,top_first_retweeter_count,captured_role_mix,amplification_score
n_palaiopanou,False,74,39,16,Briassulis,7,0.0946,0.0431,0.1008,8661,K_Sav215,1,24,35,TheMadoula,3,mixed_behavior:0.57; amplifier_suspect:0.31; media_business:0.07; retail_user:0.03,50.3801
AnAthenianToLDN,True,47,19,30,46spiros,8,0.1702,0.0865,0.1467,25391,fanis_rc,1,30,37,46spiros,6,mixed_behavior:0.51; amplifier_suspect:0.45; media_business:0.04,49.5373
petrosoutsis,False,23,8,12,Briassulis,7,0.3043,0.2023,0.4186,5871,Briassulis,1,12,15,Briassulis,6,amplifier_suspect:0.52; mixed_behavior:0.35; media_business:0.13,48.4874
3_soprano,False,5,2,5,GiotaPapapetrou,4,0.8,0.68,0.6,5409,GiotaPapapetrou,1,5,5,GiotaPapapetrou,4,retail_user:0.80; amplifier_suspect:0.20,48.0011
ImtiazMadmood,False,5,2,5,nickthegreek5,4,0.8,0.68,0.6,3733,nickthegreek5,1,5,5,nickthegreek5,4,media_business:0.80; amplifier_suspect:0.20,48.0011
Kevin64794212,False,5,2,5,GiotaPapapetrou,4,0.8,0.68,0.6,19610,GiotaPapapetrou,1,5,5,GiotaPapapetrou,4,retail_user:0.80; mixed_behavior:0.20,48.0011
WHLeavitt,False,5,2,5,paliakaravana59,4,0.8,0.68,0.6,39222,paliakaravana59,1,5,5,paliakaravana59,4,amplifier_suspect:0.80; media_business:0.20,48.0011
elenasagiadinou,False,46,24,22,Track11John,11,0.2391,0.087,0.1023,27886,galex1908,1,23,29,Track11John,8,mixed_behavior:0.61; amplifier_suspect:0.28; retail_user:0.07; media_business:0.04,47.5257
BenakisM,True,49,25,15,nickthegreek5,7,0.1429,0.0596,0.1194,12248,MKioulafa,1,17,25,57lista,2,mixed_behavior:0.43; amplifier_suspect:0.24; media_business:0.20; retail_user:0.06,46.5353
tomanifesto,False,47,24,22,galex1908,5,0.1064,0.0557,0.081,27216,mpantazo,1,23,27,galex1908,5,amplifier_suspect:0.47; mixed_behavior:0.28; media_business:0.15; retail_user:0.09,46.4846
SkyNews,False,4,2,3,klikr,3,0.75,0.625,0.6667,992,klikr,1,4,4,klikr,3,mixed_behavior:0.75; media_business:0.25,45.7716
Veltsi_Legacy,True,8,4,7,hatz_patty,4,0.5,0.3438,0.6,21207,hatz_patty,1,7,8,hatz_patty,4,mixed_behavior:0.50; media_business:0.38; amplifier_suspect:0.12,45.2393
giorgoschris2,False,4,2,3,QuercusLg,3,0.75,0.625,0.6667,1646,QuercusLg,1,3,4,QuercusLg,2,retail_user:0.75; media_business:0.25,44.879
kikig_3,False,4,2,3,MasenkaMm230158,3,0.75,0.625,0.6667,30019,Fay82776914F,1,3,3,MasenkaMm230158,2,amplifier_suspect:1.00,44.879
HistoryCyprus,False,16,5,7,MariaDecokeke,6,0.375,0.2578,0.405,4493,greek_paris_13,1,7,11,greek_paris_13,3,mixed_behavior:0.56; media_business:0.38; amplifier_suspect:0.06,44.5288
KatKatPt,False,12,7,7,MasenkaMm230158,6,0.5,0.2917,0.45,46249,MariaDecokeke,1,7,9,MasenkaMm230158,5,amplifier_suspect:0.67; media_business:0.08; unknown:0.08; retail_user:0.08,44.4147
MOSSADil,False,15,9,9,nickthegreek5,7,0.4667,0.2533,0.3429,5357,nickthegreek5,1,9,10,nickthegreek5,6,media_business:0.73; amplifier_suspect:0.20; retail_user:0.07,44.026
sinakatsarou,True,19,12,10,hatz_patty,7,0.3684,0.1745,0.3028,26025,MKioulafa,1,11,12,hatz_patty,5,mixed_behavior:0.74; amplifier_suspect:0.16; media_business:0.11,43.9073
failosK,True,36,19,10,46spiros,5,0.1389,0.0741,0.1374,19786,Nogate_T,1,13,19,46spiros,2,amplifier_suspect:0.42; mixed_behavior:0.33; media_business:0.17; retail_user:0.06,43.7799
Agie2a,True,14,6,10,AgelisDimitris,6,0.4286,0.2653,0.3167,27357,angie22gr,1,10,12,AgelisDimitris,5,mixed_behavior:0.64; amplifier_suspect:0.29; unknown:0.07,43.3886
HFirstpriest,False,28,15,13,Track11John,7,0.25,0.1097,0.1569,23450,Briassulis,1,14,21,Track11John,3,mixed_behavior:0.64; amplifier_suspect:0.25; media_business:0.07; retail_user:0.04,43.3185
AgelisDimitris,True,27,14,16,angelikitsakani,8,0.2963,0.1495,0.0825,3610,hatz_patty,1,17,20,angelikitsakani,5,amplifier_suspect:0.44; mixed_behavior:0.44; retail_user:0.11,43.25
zneraida,True,36,20,7,giannMak,4,0.1111,0.0617,0.1788,14215,TsigkaEfi,1,9,14,TsigkaEfi,1,amplifier_suspect:0.47; mixed_behavior:0.44; media_business:0.06; unknown:0.03,42.9667
andreasmoun,False,8,3,7,46spiros,4,0.5,0.375,0.45,27624,dinoskonstantin,1,7,7,46spiros,4,amplifier_suspect:0.75; mixed_behavior:0.25,42.6039
taurothanos,False,29,13,11,hatz_patty,6,0.2069,0.1058,0.1587,29750,hatz_patty,1,11,17,hatz_patty,3,mixed_behavior:0.45; amplifier_suspect:0.34; retail_user:0.10; media_business:0.10,42.5849
Mrpresidentgr,True,6,3,5,Track11John,4,0.6667,0.5,0.45,48580,46spiros,1,5,5,Track11John,4,mixed_behavior:0.83; amplifier_suspect:0.17,42.5677
Nob0dymyname,False,6,3,5,46spiros,4,0.6667,0.5,0.45,11810,46spiros,1,5,5,46spiros,4,amplifier_suspect:0.83; journalist_public_figure:0.17,42.5677
PsyGuy007,False,4,2,4,paliakaravana59,3,0.75,0.625,0.5,21484,paliakaravana59,1,4,4,paliakaravana59,3,amplifier_suspect:0.75; mixed_behavior:0.25,42.4383
SinodinosP,False,4,2,4,ScroogeKifissia,3,0.75,0.625,0.5,38074,ScroogeKifissia,1,4,4,ScroogeKifissia,3,media_business:0.75; mixed_behavior:0.25,42.4383
manolisgiz,False,4,2,4,greek_paris_13,3,0.75,0.625,0.5,1359,greek_paris_13,1,4,4,greek_paris_13,3,mixed_behavior:0.75; amplifier_suspect:0.25,42.4383
xa_xa_xa_xo_xo,False,10,4,8,aggelikiME25,5,0.5,0.36,0.3333,258,aggelikiME25,1,8,9,aggelikiME25,5,mixed_behavior:0.50; source_hub:0.30; amplifier_suspect:0.10; retail_user:0.10,42.3887
jazz_daz,False,26,13,11,nickthegreek5,5,0.1923,0.1006,0.1733,28337,jparthen,1,12,16,sinakatsarou,3,mixed_behavior:0.58; media_business:0.27; amplifier_suspect:0.15,42.2233
K_Sav215,True,20,9,10,chrysib11,6,0.3,0.185,0.166,3259,MKioulafa,1,11,15,chrysib11,4,amplifier_suspect:0.50; mixed_behavior:0.45; media_business:0.05,41.6843
__darcelX__,True,25,13,9,Agie2a,4,0.16,0.0944,0.1627,92208,dinoskonstantin,1,11,15,ThanosTzimeros,2,amplifier_suspect:0.40; mixed_behavior:0.28; media_business:0.24; retail_user:0.08,41.2338
TARS955736,False,6,2,5,vythos70,3,0.5,0.5,0.4,9270,vythos70,1,5,5,vythos70,3,mixed_behavior:1.00,40.7343
realMaalouf,False,20,12,7,nickthegreek5,5,0.25,0.125,0.2377,16701,Anthology2026,1,8,11,Anthology2026,2,amplifier_suspect:0.45; media_business:0.35; retail_user:0.10; source_hub:0.05,40.6082
GeorghyZhukov,True,31,21,8,RockRock222555,4,0.129,0.0656,0.1273,35878,pOURc3ero9j906K,1,8,13,46spiros,2,mixed_behavior:0.39; amplifier_suspect:0.26; media_business:0.19; unknown:0.13,40.4626
consue_banana_,True,5,3,3,GiotaPapapetrou,3,0.6,0.44,0.5556,2820,GiotaPapapetrou,1,3,5,GiotaPapapetrou,3,retail_user:0.60; mixed_behavior:0.40,40.3237
MKioulafa,True,8,5,6,sinakatsarou,4,0.5,0.3125,0.4,6687,sinakatsarou,1,6,7,sinakatsarou,3,mixed_behavior:0.62; media_business:0.25; amplifier_suspect:0.12,40.1739
greek_paris_13,True,29,17,13,Ah_riman,5,0.1724,0.0868,0.0367,11970,G4Heron,2,13,20,Ah_riman,4,mixed_behavior:0.48; media_business:0.24; amplifier_suspect:0.24; journalist_public_figure:0.03,40.0809
Natalia_yael4,False,5,2,5,MenoEdo,3,0.6,0.52,0.4,15064,MenoEdo,1,5,5,MenoEdo,3,mixed_behavior:0.60; amplifier_suspect:0.40,40.0011
lena_lenaki_len,False,5,2,4,GiotaPapapetrou,3,0.6,0.52,0.4167,5838,GiotaPapapetrou,1,4,5,GiotaPapapetrou,3,retail_user:0.60; amplifier_suspect:0.40,39.6052
AppelaiosII,False,13,8,7,Track11John,4,0.3077,0.1834,0.2733,40629,Fay82776914F,1,8,9,Track11John,3,mixed_behavior:0.85; amplifier_suspect:0.15,39.3288
giorgospolys,False,6,4,4,GiotaPapapetrou,3,0.5,0.3333,0.5,306,GiotaPapapetrou,1,4,4,GiotaPapapetrou,3,retail_user:0.50; mixed_behavior:0.33; media_business:0.17,39.0884
MirandaPrada_,False,23,13,8,mpantazo,3,0.1304,0.0926,0.123,6796,angelikitsakani,1,9,16,angelikitsakani,2,mixed_behavior:0.39; amplifier_suspect:0.35; retail_user:0.13; media_business:0.13,39.0262
