account_handle,role_label,role_confidence,is_member,signals,followers_count,friends_count,followers_friends_ratio,listed_count,description_language,description_length,is_blue_verified,default_profile,account_age_days,retweet_ratio,original_count,cohort_ids
StavrosKol9528,media_business,0.7,True,description_media_keyword|blue_verified|default_profile,296,127,2.3307,1,en,114,True,True,530,0.0,1,
jparthen,media_business,0.7,True,description_media_keyword|first_retweeter_count>=3(9),553,476,1.1618,20,en,32,False,False,6047,0.7333,4,
matrixneo1979,media_business,0.7,True,description_media_keyword|description_journalist_keyword|default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(5),3282,1648,1.9915,39,,41,False,True,3008,1.0,0,
parodynews,media_business,0.7,True,description_media_keyword|description_journalist_keyword|listed_count>=50(94)|first_retweeter_count>=3(7),3574,4099,0.8719,94,en,62,False,False,6000,0.6923,4,
AnAthenianToLDN,media_business,0.65,True,listed_count>=50(108)|first_retweeter_count>=3(8),22210,2365,9.3911,108,el,70,False,False,5441,0.65,7,
GeorghyZhukov,media_business,0.65,True,listed_count>=50(129)|followers_friends_ratio>=25(29.0)|blue_verified,37798,1305,28.964,129,,0,True,False,6183,0.0,1,
Loxagos_Mark,media_business,0.65,True,listed_count>=50(105)|blue_verified|default_profile|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(15)|cohort_member(1),7001,7423,0.9431,105,el,159,True,True,4806,1.0,0,1
NikosMichael6,media_business,0.65,True,listed_count>=50(123)|blue_verified|default_profile,28909,4067,7.1082,123,en,98,True,True,1829,1.0,0,
ThanosTzimeros,media_business,0.65,True,listed_count>=50(423)|followers_friends_ratio>=25(40.3)|default_profile|first_retweeter_count>=3(13)|cohort_member(1),68548,1701,40.2986,423,el,157,False,True,5282,0.75,8,1
silaserafim,media_business,0.65,True,listed_count>=50(266)|retweet_ratio>=0.85(1.00)|zero_or_single_original|first_retweeter_count>=3(16),40728,2207,18.454,266,en,107,False,False,5647,1.0,0,
DejaLogic,media_business,0.5,True,listed_count>=50(52)|default_profile,4612,3060,1.5072,52,el,157,False,True,1154,1.0,0,
G4Heron,media_business,0.5,True,listed_count>=50(70)|retweet_ratio>=0.85(0.95)|first_retweeter_count>=3(40),10219,6914,1.478,70,el,139,False,False,4054,0.9545,2,
KosmidisStathis,media_business,0.5,True,listed_count>=50(73)|default_profile|zero_or_single_original|first_retweeter_count>=3(3),9687,5717,1.6944,73,el,122,False,True,4187,0.8333,1,
