retweeter,source_author,count
Fay82776914F,Notorio_rbg,2
G4Heron,FanakidiF,2
G4Heron,isa_pera_re,2
G4Heron,itidorfa07,2
G4Heron,trescommeilfaut,2
GeorgiadouL,panta_tif,2
GiotaPapapetrou,ASYMBIBAST74855,2
GiotaPapapetrou,G_konstn,2
GiotaPapapetrou,GeorgeTzorakas,2
GiotaPapapetrou,Kozet97913705,2
GiotaPapapetrou,Luna_Lunaki,2
GiotaPapapetrou,Miyagii2574471,2
GiotaPapapetrou,SPIROSTHEONE,2
GiotaPapapetrou,SofiaPaschalid,2
GiotaPapapetrou,Vasia53639806,2
GiotaPapapetrou,aigiotissa,2
GiotaPapapetrou,failosK,2
GiotaPapapetrou,galex1908,2
GiotaPapapetrou,litsagd,2
GiotaPapapetrou,ourania15,2
GiotaPapapetrou,stamasid,2
GiotaPapapetrou,tazmanolis,2
GiotaPapapetrou,tzela463084,2
IK25818385,ScroogeKifissia,2
KVagos42117,Hoang_HQ,2
KVagos42117,Tiana_Celine_23,2
K_Sav215,57lista,2
K_Sav215,Ah_riman,2
K_Sav215,AnAthenianToLDN,2
K_Sav215,Ant_Karaxalios,2
K_Sav215,BenakisM,2
K_Sav215,Harhalas,2
K_Sav215,MarketNewsgr,2
K_Sav215,Technomagos,2
K_Sav215,mamba_aka,2
K_Sav215,n_palaiopanou,2
L6sVita,AdonisGeorgiadi,2
LGkvas,DejaLogic,2
LGkvas,Mirsini1946041,2
LGkvas,MsLouellaDeVil,2
LGkvas,doubamari,2
Leniw_Lenia,ntalaoura,2
Loxagos_Mark,acpanathinaikos,2
Loxagos_Mark,ellada24,2
MKioulafa,1mp0st3rtuta,2
MKioulafa,BenakisM,2
MKioulafa,HarrisSamaras,2
MKioulafa,HistoryCyprus,2
MKioulafa,MariaKoki3,2
MKioulafa,Petkar22,2
MKioulafa,isa_pera_re,2
MKioulafa,steiger_st28082,2
MariaDecokeke,failosK,2
MariaKoki3,HellenicOlympic,2
MasenkaMm230158,1693Cross,2
MasenkaMm230158,GeorghyZhukov,2
MasenkaMm230158,Johnnyhoston_2,2
MasenkaMm230158,Mirsini1946041,2
MasenkaMm230158,arkas1971,2
MasenkaMm230158,faiaki576,2
MasenkaMm230158,mariavellou,2
MasenkaMm230158,omadaalithias,2
MasenkaMm230158,zneraida,2
MenoEdo,Cynaegeirus2,2
MenoEdo,DvsDvs60195368,2
MenoEdo,EliAfriatISR,2
MenoEdo,PtisiMagazine,2
MenoEdo,VividProwess,2
MenoEdo,andreasmoun,2
MenoEdo,failosK,2
MenoEdo,haaha_bou,2
MenoEdo,konmanol1,2
MenoEdo,syl_sylv7966337,2
Myrtilo01,Nikos_Lygeros,2
Myrtilo01,P159646899P,2
Myrtilo01,omadaalithias,2
NikosMichael6,NikosMichael6,2
NikosVsdl8,GadSaad,2
NikosVsdl8,LauraLoomer,2
NikosVsdl8,__darcelX__,2
NonameTZ,zneraida,2
Rena_Rethymno,Mirsini1946041,2
Rena_Rethymno,greek_paris_13,2
RockRock222555,HFirstpriest,2
RockRock222555,MLingou,2
RockRock222555,Stainlessid,2
RockRock222555,gospodinmedvedd,2
ScroogeKifissia,ScroogeKifissia,2
ScroogeKifissia,blackmore_r,2
ScroogeKifissia,machiavelli_gr,2
SenzakiKamo,ellada24,2
SenzakiKamo,tasoskyzas,2
SenzakiKamo,tomanifesto,2
ThanosTzimeros,LeonPalaiodimos,2
TheMadoula,Rena_Rethymno,2
TheMadoula,omadaalithias,2
TheMadoula,taurothanos,2
TheMadoula,vythos70,2
Torquem21743459,n_palaiopanou,2
Track11John,BenakisM,2
Track11John,Bodymist18668,2
Track11John,DvsDvs60195368,2
Track11John,GeorghyZhukov,2
Track11John,LiberalGr,2
Track11John,SMpliat,2
Track11John,dkDurcGYTIpZdKl,2
Track11John,greek_paris_13,2
Track11John,jazz_daz,2
Track11John,komninos_lakis,2
Track11John,omadaalithias,2
TsigkaEfi,Harhalas,2
TsigkaEfi,Mirsini1946041,2
TsigkaEfi,communakios,2
TsigkaEfi,n_palaiopanou,2
Volcom40893832,AdonisGeorgiadi,2
Xeniaxe19580370,Niw451,2
Xeniaxe19580370,realMaalouf,2
ZafiriaF,arkas1971,2
ZafiriaF,efarpax_4,2
ZafiriaF,qasireu,2
agapornis_mask,tazmanolis,2
aggelikiME25,GiotaPapapetrou,2
aggelikiME25,Karaflademon,2
aggelikiME25,LionHeart142322,2
aggelikiME25,Yiatzi,2
aggelikiME25,neurocandy_,2
aggelikiME25,skordo_official,2
aggelikiME25,socaipmylo,2
angelikitsakani,AnAthenianToLDN,2
angelikitsakani,GP_74_,2
angelikitsakani,IoannaDementi,2
angelikitsakani,Kostopoulosdim1,2
angelikitsakani,MariaDecokeke,2
angelikitsakani,MirandaPrada_,2
angelikitsakani,Mirsini1946041,2
angelikitsakani,SerraiaSofia,2
angelikitsakani,__darcelX__,2
angelikitsakani,arkas1971,2
angelikitsakani,communakios,2
angelikitsakani,elenasagiadinou,2
angelikitsakani,failosK,2
angelikitsakani,greek_paris_13,2
