account_handle,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_age_days,default_profile,default_profile_image,is_blue_verified,network_component_size,network_neighbor_count,network_weighted_degree,network_within_15m_weight,network_within_60m_weight,network_max_shared_edge,cohort_count,cohort_max_size,cohort_max_cascade_count,role_retail_user,role_amplifier_suspect,role_media_business,role_journalist_public_figure,role_source_hub,first_retweeter_ratio,propagation_lead_count,coordination_score,analyst_label
ZafiriaF,13,13,0,1,1.0,3,13,10,2,0.1538,2,0.1538,0,0,11225,6682,62217,5341,1,0,0,113,9,28,1,4,9,0,0,0,0,0,1,0,0,0.0011,3,57.59,
Aristerotsolis,4,4,0,0,1.0,3,4,2,3,0.75,3,0.75,3,2,665,1132,5942,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,3,57.5,
greek_paris_13,34,32,2,15,0.9412,17,32,24,4,0.125,4,0.125,13,8,6882,2864,147497,5295,0,0,0,113,18,49,5,26,5,1,54,177,0,0,0,0,0,0.0063,17,57.32,
themagus2022,5,5,0,0,1.0,4,5,5,0,0.0,1,0.2,7,0,242,482,17026,1332,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0015,4,57.0,
TheMadoula,40,37,3,7,0.925,14,37,25,13,0.3514,6,0.1622,15,28,3079,3670,64237,5881,0,0,0,113,36,124,9,40,15,1,54,177,0,0,0,0,0,0.0052,14,56.77,
SenzakiKamo,36,34,2,7,0.9444,14,34,29,12,0.3529,3,0.0882,14,7,549,410,55345,4073,1,0,0,113,21,81,5,26,12,1,54,177,1,0,0,0,0,0.0052,14,56.73,
Briassulis,130,97,33,52,0.7462,55,97,59,29,0.299,10,0.1031,29,52,1789,1147,266810,1918,1,0,0,113,40,211,18,85,26,1,54,177,0,0,0,0,0,0.0204,55,56.63,
Torquem21743459,5,5,0,2,1.0,2,5,4,0,0.0,2,0.4,5,8,528,1417,15727,2858,1,0,0,113,3,6,0,0,2,0,0,0,0,0,0,0,0,0.0007,2,56.5,
MariaKagia4603,7,7,0,1,1.0,4,7,7,0,0.0,1,0.1429,2,0,119,339,3145,462,1,0,0,113,3,6,2,3,2,0,0,0,0,1,0,0,0,0.0015,4,56.43,
Ah_riman,29,27,2,11,0.931,14,27,11,6,0.2222,8,0.2963,3,7,9195,8740,98042,3285,0,0,1,113,23,90,9,43,8,1,54,177,0,0,0,0,0,0.0052,14,56.38,
ZbejVty,17,16,1,1,0.9412,12,16,13,6,0.375,4,0.25,5,9,4007,4986,151560,1666,1,0,0,113,1,2,0,1,2,0,0,0,0,1,0,0,0,0.0044,12,56.07,
QuercusLg,21,19,2,4,0.9048,16,19,15,3,0.1579,3,0.1579,3,2,1076,1194,142097,1368,1,0,0,2,1,2,0,1,2,0,0,0,1,0,0,0,0,0.0059,16,55.62,
BananaJoeReload,51,43,8,7,0.8431,35,43,37,0,0.0,3,0.0698,4,7,6511,7363,358003,3192,1,0,0,113,1,2,1,2,2,0,0,0,0,0,0,0,0,0.013,35,55.21,
Chaos_kreator,2,2,0,0,1.0,0,2,2,2,1.0,1,0.5,0,0,673,760,33825,5440,0,0,0,113,1,2,0,2,2,0,0,0,0,0,0,0,0,0.0,0,55.0,
JtfYiannis,2,2,0,1,1.0,0,2,2,2,1.0,1,0.5,2,0,2382,3357,12381,3671,0,0,0,113,3,6,1,3,2,0,0,0,0,0,0,0,0,0.0,0,55.0,
RockRock222555,72,51,21,32,0.7083,30,51,38,14,0.2745,4,0.0784,13,12,1740,1852,67023,1856,1,0,0,113,23,103,14,61,12,1,54,177,0,0,0,0,0,0.0111,30,54.69,
Anthology2026,70,57,13,5,0.8143,48,57,53,2,0.0351,2,0.0351,6,5,300,2431,333,51,1,0,0,113,10,22,1,5,4,0,0,0,1,0,0,0,0,0.0178,48,54.38,
GeorgiadouL,7,7,0,3,1.0,1,7,6,0,0.0,2,0.2857,4,4,4622,3916,104126,4004,0,0,0,113,5,12,1,3,3,0,0,0,0,0,0,0,0,0.0004,1,54.11,
anasiropiastos,31,26,5,6,0.8387,16,26,10,1,0.0385,9,0.3462,12,5,347,290,7481,305,1,0,0,113,10,25,4,18,4,1,54,177,1,0,0,0,0,0.0059,16,53.39,
agapornis_mask,3,3,0,0,1.0,1,3,2,2,0.6667,2,0.6667,2,4,187,462,6710,5017,1,0,0,113,2,5,0,0,3,0,0,0,0,0,0,0,0,0.0004,1,52.92,
le1li,18,17,1,1,0.9444,12,17,16,3,0.1765,2,0.1176,15,8,756,933,6287,5301,0,0,0,113,1,2,0,1,2,0,0,0,0,1,0,0,0,0.0044,12,51.88,
maus_miny,26,24,2,5,0.9231,8,24,11,11,0.4583,6,0.25,9,21,4429,2093,64908,1504,1,0,0,113,30,106,10,36,11,1,54,177,0,0,0,0,0,0.003,8,51.68,
Marios59885699,3,3,0,1,1.0,2,3,3,2,0.6667,1,0.3333,0,1,414,421,168647,2341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,2,50.83,
nilsholgerson_,3,3,0,1,1.0,1,3,3,2,0.6667,1,0.3333,0,0,4886,4525,29520,4638,1,0,0,113,1,2,0,2,2,0,0,0,0,0,0,0,0,0.0004,1,49.58,
Local_Bureau,2,2,0,2,1.0,1,2,2,1,0.5,1,0.5,0,0,9363,1293,136094,3895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,48.75,
ThanosKten,2,2,0,0,1.0,1,2,2,1,0.5,1,0.5,0,0,673,637,6558,468,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,48.75,
frel_elias,16,14,2,5,0.875,12,14,14,2,0.1429,1,0.0714,5,0,1143,1679,57635,5295,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044,12,48.48,
ThanosTzimeros,32,24,8,10,0.75,13,24,21,7,0.2917,3,0.125,3,0,68548,1701,41419,5282,1,0,0,113,5,19,5,14,7,1,54,177,0,0,1,0,0,0.0048,13,48.13,
theatropoios,12,11,1,3,0.9167,11,11,10,0,0.0,2,0.1818,3,0,637,2098,23454,826,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0041,11,47.65,
ArgirNik,22,16,6,6,0.7273,11,16,10,6,0.375,3,0.1875,6,5,829,516,156104,5323,1,0,0,113,15,38,5,9,4,0,0,0,1,0,0,0,0,0.0041,11,46.71,
Rena_Rethymno,21,18,3,12,0.8571,8,18,14,6,0.3333,3,0.1667,8,8,,,,,,,,113,11,31,2,9,6,0,0,0,0,0,0,0,0,0.003,8,46.66,
IK25818385,11,9,2,0,0.8182,9,9,6,2,0.2222,3,0.3333,15,1,1044,3296,10653,1871,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033,9,46.55,
AleaJactaEst101,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,1,0,5887,1727,46177,3133,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
AlexAlexroll,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,1,344,271,33435,5760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
AsimakosGiannis,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,372,343,6242,1421,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
Asmoudis13,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,3,0,50,564,2132,347,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
DimitrisP69501,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,39,240,829,141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
Georgia146690,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,1,0,72,79,1992,226,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
JanSobiesk1683V,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,904,2125,35130,1668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
Kabamaru__n,1,1,0,1,1.0,1,1,1,0,0.0,1,1.0,0,0,11,4,486,772,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
Konstan18155165,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,1,0,35,193,534,404,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
Kostas18748292,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,604,811,19565,2057,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
Lucy75218876,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,4071,1563,53152,1650,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
PiraeusStef,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,2056,2280,39756,5461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
Wonderlust_K,1,1,0,1,1.0,1,1,1,0,0.0,1,1.0,0,0,432,496,15680,5243,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
Yiorgos4115671,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,1,308,1963,28445,534,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,1,46.25,
