account_handle,in_member_list,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_account,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_created_at,default_profile,default_profile_image,is_blue_verified,profile_description_language,coordination_score
ArisBJJ,True,9,7,2,3,0.7778,5,7,6,2,0.2857,Akiratos_,2,0.2857,0,2,3224,1346,16278,2011-05-05T15:42:51+03:00,False,False,True,,40.62
greek_paris_13,True,7,6,1,5,0.8571,5,6,6,1,0.1667,anarchistdonkey,1,0.1667,2,0,6880,2864,147397,2011-10-17T02:12:07+03:00,False,False,False,el,40.42
klikr,True,6,5,1,1,0.8333,5,5,5,1,0.2,LMEuropeNews,1,0.2,1,3,1098,1189,44612,2011-07-01T23:19:12+03:00,False,False,False,und,40.42
AnAthenianToLDN,True,7,5,2,3,0.7143,4,5,5,2,0.4,SkyNews,1,0.2,1,0,22206,2364,229235,2011-05-25T08:32:25+03:00,False,False,False,el,38.0
g_m_theo,True,3,1,2,1,0.3333,0,1,1,1,1.0,dimitris7987,1,1.0,0,1,6346,5665,60021,2015-01-28T16:06:18+02:00,True,False,False,el,36.67
JSweetGR,True,6,5,1,2,0.8333,1,5,5,1,0.2,Notorio_rbg,1,0.2,0,2,3253,2123,70935,2009-04-05T08:55:12+03:00,False,False,True,en,35.42
amantomatimou,True,4,3,1,0,0.75,3,3,3,0,0.0,FootyHumour,1,0.3333,0,0,5606,557,82646,2011-02-21T22:41:57+02:00,False,False,False,,33.33
Mrpresidentgr,True,4,3,1,2,0.75,2,3,3,0,0.0,ictinus_x,1,0.3333,2,1,3817,2976,54071,2009-05-17T13:46:18+03:00,True,False,True,en,32.08
KyrPantelis3,True,3,2,1,1,0.6667,2,2,2,0,0.0,CharaKara,1,0.5,0,0,394,2408,15084,2022-07-10T02:03:01+03:00,True,False,False,en,30.83
MariaKoki3,True,3,2,1,1,0.6667,2,2,2,0,0.0,1693Cross,1,0.5,0,0,1401,753,123802,2022-12-31T23:15:04+02:00,True,False,False,,30.83
frel_elias,True,3,2,1,2,0.6667,2,2,2,0,0.0,CelestaMs49332,1,0.5,4,0,1142,1676,57594,2011-10-17T18:42:03+03:00,True,False,True,el,30.83
jparthen,True,3,2,1,2,0.6667,2,2,2,0,0.0,tzavelaniki,1,0.5,0,0,552,475,46522,2009-09-26T01:32:12+03:00,False,False,False,en,30.83
Anthology2026,True,2,1,1,0,0.5,1,1,1,0,0.0,andreas_nigbur,1,1.0,0,0,300,2396,244,2026-02-24T21:21:02+02:00,True,False,False,el,28.75
PanosStayis,True,2,1,1,1,0.5,1,1,1,0,0.0,ByJimbob,1,1.0,0,0,347,347,6833,2023-05-23T12:49:49+03:00,True,False,False,el,28.75
pnevan11,True,2,1,1,0,0.5,1,1,1,0,0.0,Kaybedlerklbu,1,1.0,0,0,619,1459,7987,2016-05-11T00:08:45+03:00,True,False,False,,28.75
foivos_trikkis_,True,5,3,2,4,0.6,3,3,3,0,0.0,xeftila20,1,0.3333,3,0,1519,807,38658,2020-05-02T04:55:30+03:00,True,False,False,el,28.08
Greekprn,True,6,1,5,0,0.1667,1,1,1,0,0.0,nypost,1,1.0,5,0,6049,3860,157872,2011-09-20T18:04:14+03:00,False,False,False,en,17.08
MoudilosV,True,4,0,4,2,0.0,0,0,0,0,0.0,,0,0.0,4,0,1877,1736,24621,2009-09-07T17:53:59+03:00,False,False,True,el,0.0
Veltsi_Legacy,True,4,0,4,3,0.0,0,0,0,0,0.0,,0,0.0,0,0,1223,574,12772,2023-09-19T21:26:55+03:00,True,False,True,el,0.0
n_palaiopanou,False,3,0,3,1,0.0,0,0,0,0,0.0,,0,0.0,0,3,,,,,,,,,0.0
Abovelaw13,True,1,0,1,0,0.0,0,0,0,0,0.0,,0,0.0,3,0,1065,582,10995,2021-07-26T14:00:44+03:00,True,False,True,en,0.0
Apstolos14616,True,1,0,1,0,0.0,0,0,0,0,0.0,,0,0.0,0,0,142,168,2079,2026-01-25T07:58:40+02:00,True,True,True,el,0.0
EAdamopoulou,True,1,0,1,1,0.0,0,0,0,0,0.0,,0,0.0,0,1,8667,1792,75832,2011-05-27T17:41:17+03:00,False,False,True,,0.0
GP_74_,True,1,0,1,0,0.0,0,0,0,0,0.0,,0,0.0,0,1,1327,1023,18356,2023-05-26T00:31:47+03:00,True,False,False,el,0.0
HFirstpriest,False,1,0,1,0,0.0,0,0,0,0,0.0,,0,0.0,0,1,,,,,,,,,0.0
MatrimC110073,True,1,0,1,1,0.0,0,0,0,0,0.0,,0,0.0,0,0,961,1450,17959,2022-07-18T20:53:39+03:00,True,False,True,el,0.0
PhunkD14,True,1,0,1,0,0.0,0,0,0,0,0.0,,0,0.0,0,0,240,1010,8736,2022-11-23T14:20:15+02:00,True,False,False,en,0.0
Sunflower19731,True,1,0,1,1,0.0,0,0,0,0,0.0,,0,0.0,0,0,203,234,2355,2019-02-03T01:45:40+02:00,True,False,False,en,0.0
Tiramolas_,True,1,0,1,0,0.0,0,0,0,0,0.0,,0,0.0,1,1,88,100,979,2026-01-26T16:48:39+02:00,True,False,False,el,0.0
christoskostaki,False,1,0,1,0,0.0,0,0,0,0,0.0,,0,0.0,0,1,,,,,,,,,0.0
giorgosgreen,True,1,0,1,0,0.0,0,0,0,0,0.0,,0,0.0,0,0,1121,557,10256,2019-01-22T20:18:13+02:00,True,False,False,en,0.0
isidoragiou1,True,1,0,1,1,0.0,0,0,0,0,0.0,,0,0.0,0,0,599,291,15256,2015-09-23T23:07:30+03:00,False,False,False,und,0.0
kikirik_nik,True,1,0,1,0,0.0,0,0,0,0,0.0,,0,0.0,0,0,3756,110,16460,2014-05-29T04:02:47+03:00,False,False,False,el,0.0
maus_miny,True,1,0,1,0,0.0,0,0,0,0,0.0,,0,0.0,0,1,4430,2093,64873,2022-03-04T15:42:49+02:00,True,False,False,el,0.0
myga_tse,False,1,0,1,0,0.0,0,0,0,0,0.0,,0,0.0,0,1,,,,,,,,,0.0
omadaalithias,True,1,0,1,0,0.0,0,0,0,0,0.0,,0,0.0,0,0,110821,581,15850,2012-09-19T13:59:05+03:00,False,False,True,el,0.0
panagitsma78169,True,1,0,1,0,0.0,0,0,0,0,0.0,,0,0.0,1,0,75,97,5535,2024-01-17T12:41:13+02:00,True,False,False,,0.0
