account_handle,first_retweeter_count,unique_targets_first,top_target_author,top_target_count,target_hhi,median_lag_to_second_retweet_sec,role_label,cohort_ids,component_id
RunManLXXIII,1,1,olympiacosfc,1,1.0,,unknown,,
SagamoreMount,1,1,michaeldweiss,1,1.0,,mixed_behavior,1,1
Savaso1955,1,1,Mareadre,1,1.0,,unknown,,
VanaT66,1,1,NedosVassilis,1,1.0,14057,mixed_behavior,,
VaragiosP,1,1,olympiada,1,1.0,6426,retail_user,,
Veltsi_Legacy,1,1,Cynaegeirus2,1,1.0,20569,mixed_behavior,2,1
Volcom40893832,1,1,AdonisGeorgiadi,1,1.0,8015,mixed_behavior,,1
Wonderlust_K,1,1,UkieDanya,1,1.0,,retail_user,,
Yiorgos4115671,1,1,Alpha_Wanted,1,1.0,,unknown,,
agapornis_mask,1,1,tazmanolis,1,1.0,4256,mixed_behavior,,1
agnwstos_x_,1,1,Vathipigadi,1,1.0,,source_hub,,
aikarerina,1,1,aikarerina,1,1.0,,media_business,,
akrokentrwos_2,1,1,Haberler,1,1.0,,media_business,,
alexpretti1312,1,1,steph2monaco,1,1.0,,unknown,,
antonis_zen,1,1,PrDimokratias,1,1.0,,unknown,,
blackadder_3rd,1,1,AdonisGeorgiadi,1,1.0,,unknown,,
communakios,1,1,omadaalithias,1,1.0,963,mixed_behavior,1,1
correll_caus,1,1,maybeshewill21,1,1.0,6246,unknown,,
despica67766915,1,1,Nickfarc19,1,1.0,,retail_user,,
doubamari,1,1,omadaalithias,1,1.0,3119,media_business,1,1
gaou__biou,1,1,dobos21,1,1.0,,unknown,,
isidoragiou1,1,1,ConstantineLad,1,1.0,,retail_user,,
kostasp194,1,1,AdonisGeorgiadi,1,1.0,,mixed_behavior,,1
mystical_hell,1,1,AnA_podo_radiki,1,1.0,,unknown,,
nesgrego,1,1,kokkinellis,1,1.0,5180,mixed_behavior,,
oldfileles,1,1,tazmanolis,1,1.0,,mixed_behavior,,
pOURc3ero9j906K,1,1,GeorghyZhukov,1,1.0,16839,unknown,,
papa_vaso,1,1,Eman_8282,1,1.0,,unknown,,
pnevan11,1,1,Kaybedlerklbu,1,1.0,,retail_user,,
sokpap,1,1,Stam_Pittas,1,1.0,,unknown,,
t_thalatta,1,1,qasireu,1,1.0,4474,unknown,,
trescommeilfaut,1,1,Eirini_D91,1,1.0,,source_hub,,
vagelis_ts,1,1,Votsarinho,1,1.0,,unknown,,
