account_handle,in_member_list,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_account,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_created_at,default_profile,default_profile_image,is_blue_verified,profile_description_language,coordination_score
crazy_cat_lados,True,4,4,0,2,1.0,4,4,3,0,0.0,ictinus_x,2,0.5,0,1,2119,2019,34402,2014-03-09T22:49:24+02:00,True,False,False,el,45.0
Harhalas,True,1,1,0,0,1.0,0,1,1,0,0.0,PrimeministerGR,1,1.0,0,0,16123,3203,207658,2018-01-09T10:35:31+02:00,True,False,False,el,45.0
M_Efstathiou,True,1,1,0,0,1.0,0,1,1,0,0.0,apablaze,1,1.0,2,0,367,502,7392,2017-01-01T21:25:12+02:00,True,False,False,und,45.0
Snow83189825,True,1,1,0,0,1.0,0,1,1,0,0.0,verazeras,1,1.0,2,0,654,900,5802,2022-01-02T20:22:37+02:00,True,False,False,el,45.0
TDrodopoulou,True,1,1,0,0,1.0,0,1,1,0,0.0,KatKatPt,1,1.0,0,0,208,145,5931,2023-02-19T15:06:04+02:00,True,False,False,el,45.0
TetraLogiki,True,1,1,0,0,1.0,0,1,1,0,0.0,AdonisGeorgiadi,1,1.0,0,0,3101,1812,30366,2018-12-07T10:33:13+02:00,True,False,False,el,45.0
desevmoi,True,1,1,0,0,1.0,0,1,1,0,0.0,MsLouellaDeVil,1,1.0,0,0,179,206,717,2023-04-17T22:17:26+03:00,True,False,False,,45.0
epaggelmatiassk,True,1,1,0,0,1.0,0,1,1,0,0.0,tomanifesto,1,1.0,0,0,3547,2544,108905,2018-03-12T23:03:30+02:00,True,False,False,el,45.0
leonidasHG,True,1,1,0,1,1.0,0,1,1,0,0.0,n_palaiopanou,1,1.0,2,3,1138,1625,28660,2011-10-21T13:41:35+03:00,True,False,False,,45.0
loudovikos14os,True,1,1,0,0,1.0,0,1,1,0,0.0,FootyHumour,1,1.0,0,0,449,343,22249,2015-06-30T19:46:57+03:00,True,False,False,el,45.0
CroniusZeus,True,3,3,0,1,1.0,1,3,3,1,0.3333,4fABkkc5xTv2aek,1,0.3333,0,0,1495,2881,18292,2019-07-27T23:40:03+03:00,True,False,False,en,44.58
nesgrego,True,4,3,1,0,0.75,1,3,2,2,0.6667,ellada24,2,0.6667,0,0,5268,2571,16246,2014-04-16T21:07:37+03:00,False,False,True,,44.17
foivos_trikkis_,True,24,16,8,6,0.6667,16,16,16,0,0.0,UndiagnosedMode,1,0.0625,6,2,1523,822,38864,2020-05-02T04:55:30+03:00,True,False,False,el,43.96
aikarerina,True,2,1,1,0,0.5,1,1,1,1,1.0,aikarerina,1,1.0,1,0,2572,3104,26592,2020-12-13T16:00:29+02:00,True,False,False,el,43.75
KVagos42117,True,10,9,1,0,0.9,8,9,7,0,0.0,Tiana_Celine_23,2,0.2222,0,0,90,126,3589,2023-06-20T06:37:09+03:00,True,False,False,,43.72
evangelia_re,True,9,8,1,0,0.8889,3,8,8,4,0.5,DejaLogic,1,0.125,3,2,5622,4619,15246,2009-09-25T12:19:48+03:00,True,False,False,el,43.61
Lalunaromantico,True,8,6,2,1,0.75,5,6,5,3,0.5,ellada24,2,0.3333,3,2,2047,1045,23996,2014-12-29T18:11:32+02:00,True,False,False,,43.33
InafiZinaf1,True,3,3,0,0,1.0,0,3,3,1,0.3333,AdonisGeorgiadi,1,0.3333,0,0,559,174,1123,2025-03-16T01:19:59+02:00,True,False,False,el,43.33
kimosampe,True,3,3,0,0,1.0,0,3,3,1,0.3333,BenakisM,1,0.3333,0,0,1034,1455,19813,2012-02-10T23:47:31+02:00,False,False,False,und,43.33
stefanakiir3,True,3,3,0,0,1.0,0,3,3,1,0.3333,gio_Kk23,1,0.3333,4,0,893,653,28996,2016-03-23T09:45:19+02:00,True,False,False,und,43.33
jparthen,True,18,14,4,6,0.7778,10,14,11,1,0.0714,tzavelaniki,3,0.2143,0,8,559,485,46817,2009-09-26T01:32:12+03:00,False,False,False,en,42.94
