account_handle,cluster_id,cluster_size,anomaly_score,anomaly_rank,centroid_distance,embedding_x,embedding_y,coordination_score,retweet_ratio,network_weighted_degree
Captain_Sparos,1,263,0.4278,257,4.0522,-3.8501,-0.2998,0.0,0.0,0
2Harvard2,1,263,0.4276,258,4.5289,-2.5884,1.65,61.25,1.0,0
antileftis91560,1,263,0.4273,259,3.3699,-1.2954,0.7911,27.5,0.3333,0
Melbourne57,1,263,0.427,260,3.5907,-1.5913,0.9951,28.33,0.5,0
Yiorgos4115671,1,263,0.4267,261,7.7221,-2.8917,1.0833,46.25,1.0,0
isidoragiou1,1,263,0.4265,262,3.5978,-3.0826,0.5474,28.75,0.5,0
AChamouza,1,263,0.4263,263,3.8183,-3.6532,-1.0713,0.0,0.0,0
Protostatis,1,263,0.4263,264,3.823,-0.9073,1.6152,58.25,1.0,0
Daedalus_theG,1,263,0.4256,265,4.3621,-2.9157,1.1783,60.0,1.0,0
ixnilatis1,1,263,0.4248,266,3.9733,-0.7941,1.2153,62.78,1.0,0
ThanosKten,1,263,0.4241,267,3.954,-1.8643,0.7809,42.08,0.75,0
drepanosfyro,1,263,0.4238,268,4.0206,-4.0034,-0.4639,0.0,0.0,0
panagitsma78169,1,263,0.4237,269,3.8841,-4.1009,-1.3229,0.0,0.0,0
MAVROJOHN,1,263,0.4236,270,3.306,-2.2898,0.1991,20.21,0.375,0
bounty_hunter0x,1,263,0.4227,271,3.856,-3.952,-1.2368,0.0,0.0,0
bolltzmann,1,263,0.4226,272,4.1402,-2.2844,2.0858,30.83,0.6667,0
loukasspetses13,1,263,0.421,273,3.9294,-2.0683,0.4529,57.5,1.0,0
AnnaMaria_1538,1,263,0.4208,274,3.8868,-3.9099,0.0803,0.0,0.0,0
tipukitos,1,263,0.4201,275,3.4531,-3.6215,-0.0691,0.0,0.0,0
chrisvwgolf,1,263,0.4201,276,2.9897,-1.8365,-0.3585,45.0,1.0,0
Christodoulakos,1,263,0.4199,277,4.0219,-2.1438,1.3758,20.25,0.4,0
tavros5791,1,263,0.4198,278,3.2701,-1.7974,1.6876,50.0,1.0,0
SuperAnthonyA,1,263,0.4195,279,3.5518,-3.1265,1.2438,21.67,0.3333,0
bobidion,1,263,0.4195,280,3.1793,-1.3453,1.3425,25.83,0.4286,0
PanosStayis,1,263,0.4192,281,3.0121,-2.4586,0.3152,37.08,0.6667,0
Tasos3025749307,1,263,0.4186,282,3.1954,-4.0203,-1.2446,0.0,0.0,0
poetic_politica,1,263,0.4172,283,3.7258,-3.6341,0.8753,0.0,0.0,0
moonshinegr,1,263,0.4166,284,4.3359,-2.6937,1.6932,60.0,1.0,0
Electra306,1,263,0.4164,285,4.155,-1.3311,2.2154,45.0,1.0,0
knock88082182,1,263,0.4164,286,3.4523,-1.1343,1.1106,59.17,1.0,0
kontologis,1,263,0.4161,287,2.9339,-1.4059,1.4707,33.08,0.6,0
Manolo_math,1,263,0.416,288,3.0433,-2.7372,1.3062,28.75,0.5,0
lordos_noble,1,263,0.4159,289,2.6962,-2.4291,1.7273,35.83,0.6667,0
Sunflower19731,1,263,0.4158,290,3.7669,-3.8012,-0.905,0.0,0.0,0
artz1b00rtz1,1,263,0.4146,291,3.7537,-3.6876,-0.3146,0.0,0.0,0
Hlsn0iQdRGXJ7lw,1,263,0.4133,292,3.0091,-1.4536,1.1925,35.58,0.6,0
RunManLXXIII,1,263,0.413,293,2.7377,-2.6276,-0.6635,41.25,1.0,0
Athanasiosfara1,1,263,0.4127,294,4.154,-2.6233,2.1298,22.92,0.3333,0
leonidasHG,1,263,0.4116,295,3.1699,-2.5624,1.6655,45.0,1.0,0
crazy_cat_lados,1,263,0.4112,296,2.7925,-1.4174,1.7611,45.0,1.0,0
Anna_Moun,1,263,0.4103,297,4.3614,-2.6039,2.0679,60.0,1.0,0
BaboonTje,1,263,0.4101,298,3.7489,-3.9027,-0.3582,0.0,0.0,0
Wonderlust_K,1,263,0.4097,299,3.3874,-2.9472,0.9479,28.75,0.5,0
prng2777,1,263,0.4091,300,3.476,-3.7685,0.3307,0.0,0.0,0
Asmoudis13,1,263,0.409,301,2.5491,-2.542,-0.1758,42.5,1.0,0
