original_tweet_id,original_author_handle,origin_is_member,retweet_count,unique_retweeter_count,first_retweeter,first_retweeter_recurrence,time_to_k5_sec,time_to_k10_sec,time_to_k50_sec,burst_kurtosis,burst_peak_window_start_sec,burst_peak_window_count,same_client_share,dominant_client,amplifier_component_ids,amplifier_cohort_ids,amplifier_role_mix,propagation_score,spread_path_preview
2044699446219342132,bpapapanagiotou,False,1,1,angie22gr,30,,,,0.0,0,1,1.0,Twitter for Android,1,,amplifier_suspect:1.00,17.5452,angie22gr@+0s[c1/h0]
2044700431847231981,sstahulis1,False,1,1,michael_exc,21,,,,0.0,0,1,1.0,Twitter Web App,,,amplifier_suspect:1.00,17.5452,michael_exc@+0s[c0/h0]
2044700451153580170,KostasVaxevanis,False,1,1,B2hBk3gFaa2fH4W,7,,,,0.0,0,1,1.0,Twitter Web App,,,amplifier_suspect:1.00,17.5452,B2hBk3gFaa2fH4W@+0s[c0/h0]
2044700533953331676,AnAthenianToLDN,True,1,1,ABCHeckles,37,,,,0.0,0,1,1.0,Twitter for iPhone,1,,amplifier_suspect:1.00,17.5452,ABCHeckles@+0s[c1/h0]
2044700540135788964,NatasaChristou1,False,1,1,g_m_theo,7,,,,0.0,0,1,1.0,Twitter for Android,1,,media_business:1.00,17.5452,g_m_theo@+0s[c1/h0]
2044702416239554628,Dogstar011,False,1,1,paliakaravana59,105,,,,0.0,0,1,1.0,Twitter for iPhone,1,,amplifier_suspect:1.00,17.5452,paliakaravana59@+0s[c1/h0]
2044702430445584790,tomanifesto,False,1,1,galex1908,72,,,,0.0,0,1,1.0,Twitter for Android,1,,amplifier_suspect:1.00,17.5452,galex1908@+0s[c1/h0]
2044702462255186050,PtisiMagazine,False,1,1,xariszak2,8,,,,0.0,0,1,1.0,Twitter for Android,1,,amplifier_suspect:1.00,17.5452,xariszak2@+0s[c1/h0]
2044702502331855125,dkDurcGYTIpZdKl,True,1,1,AgelisDimitris,90,,,,0.0,0,1,1.0,Twitter for iPhone,1,,mixed_behavior:1.00,17.5452,AgelisDimitris@+0s[c1/h0]
2044702542613864784,MichaelPoliako3,False,1,1,frel_elias,13,,,,0.0,0,1,1.0,Twitter Web App,,,mixed_behavior:1.00,17.5452,frel_elias@+0s[c0/h0]
2044702934722650596,elenimavridou12,False,1,1,evangelia_re,3,,,,0.0,0,1,1.0,Twitter Web App,1,,amplifier_suspect:1.00,17.5452,evangelia_re@+0s[c1/h0]
2044702967412974000,ivan_8848,False,1,1,michael_exc,21,,,,0.0,0,1,1.0,Twitter Web App,,,amplifier_suspect:1.00,17.5452,michael_exc@+0s[c0/h0]
2044703119632667031,sihtiria,False,1,1,freemindspirits,9,,,,0.0,0,1,1.0,Twitter for Android,,,retail_user:1.00,17.5452,freemindspirits@+0s[c0/h0]
2044703342685790699,KostasParaske17,False,1,1,economi94461498,23,,,,0.0,0,1,1.0,Twitter for iPhone,1,,amplifier_suspect:1.00,17.5452,economi94461498@+0s[c1/h0]
2044703667299770402,EastMedMonitor,False,1,1,PitSpencer,29,,,,0.0,0,1,1.0,Twitter Web App,1,,amplifier_suspect:1.00,17.5452,PitSpencer@+0s[c1/h0]
2044703688279691734,sihtiria,False,1,1,freemindspirits,9,,,,0.0,0,1,1.0,Twitter for Android,,,retail_user:1.00,17.5452,freemindspirits@+0s[c0/h0]
2044703784975110590,itidorfa07,False,1,1,G4Heron,60,,,,0.0,0,1,1.0,Twitter for Android,2,,media_business:1.00,17.5452,G4Heron@+0s[c2/h0]
2044704133844713568,xa_xa_xa_xo_xo,False,1,1,Jan__Sobieski,6,,,,0.0,0,1,1.0,Twitter for iPhone,1,,source_hub:1.00,17.5452,Jan__Sobieski@+0s[c1/h0]
2044704578717815117,itidorfa07,False,1,1,G4Heron,60,,,,0.0,0,1,1.0,Twitter for Android,2,,media_business:1.00,17.5452,G4Heron@+0s[c2/h0]
2044704692748288147,MaryMary_1,False,1,1,ScroogeKifissia,40,,,,0.0,0,1,1.0,Twitter for Android,,,media_business:1.00,17.5452,ScroogeKifissia@+0s[c0/h0]
2044705019425890628,gerturco,False,1,1,Anthology2026,76,,,,0.0,0,1,1.0,Twitter Web App,1,,retail_user:1.00,17.5452,Anthology2026@+0s[c1/h0]
2044705065903263983,0xSweep,False,1,1,Anthology2026,76,,,,0.0,0,1,1.0,Twitter Web App,1,,retail_user:1.00,17.5452,Anthology2026@+0s[c1/h0]
2044705143757602892,Agie2a,True,1,1,angie22gr,30,,,,0.0,0,1,1.0,Twitter for Android,1,,amplifier_suspect:1.00,17.5452,angie22gr@+0s[c1/h0]
2044705519194026340,sihtiria,False,1,1,freemindspirits,9,,,,0.0,0,1,1.0,Twitter for Android,,,retail_user:1.00,17.5452,freemindspirits@+0s[c0/h0]
2044705607178207709,PLA_MilitaryUpd,False,1,1,lidakis_manos,6,,,,0.0,0,1,1.0,Twitter Web App,1,,amplifier_suspect:1.00,17.5452,lidakis_manos@+0s[c1/h0]
2044705912124825636,cbonneauimages,False,1,1,parodynews,9,,,,0.0,0,1,1.0,Twitter for iPhone,1,,media_business:1.00,17.5452,parodynews@+0s[c1/h0]
2044706140991180840,V2k3lc0oxa7vxSi,False,1,1,DDeppied,3,,,,0.0,0,1,1.0,Twitter for Android,1,,mixed_behavior:1.00,17.5452,DDeppied@+0s[c1/h0]
2044706163795652790,MariaDecokeke,True,1,1,ABCHeckles,37,,,,0.0,0,1,1.0,Twitter for iPhone,1,,amplifier_suspect:1.00,17.5452,ABCHeckles@+0s[c1/h0]
2044706572912165334,giannopoulos35,False,1,1,DonConsclavios,41,,,,0.0,0,1,1.0,Twitter for iPhone,1,,retail_user:1.00,17.5452,DonConsclavios@+0s[c1/h0]
2044707273008726132,Wwwwww42362442,True,1,1,Fotinh5,8,,,,0.0,0,1,1.0,Twitter for Android,1,,amplifier_suspect:1.00,17.5452,Fotinh5@+0s[c1/h0]
2044707443414843769,xmuse_,False,1,1,lafillemalgard1,14,,,,0.0,0,1,1.0,Twitter for Android,1,,mixed_behavior:1.00,17.5452,lafillemalgard1@+0s[c1/h0]
2044707734650605633,RadioGenoa,False,1,1,dinoskonstantin,79,,,,0.0,0,1,1.0,Twitter for iPad,1,,amplifier_suspect:1.00,17.5452,dinoskonstantin@+0s[c1/h0]
2044707935368917341,giannopoulos35,False,1,1,DonConsclavios,41,,,,0.0,0,1,1.0,Twitter for iPhone,1,,retail_user:1.00,17.5452,DonConsclavios@+0s[c1/h0]
2044707948367106140,action24tv,False,1,1,Myrtilo01,39,,,,0.0,0,1,1.0,Twitter for iPhone,1,,media_business:1.00,17.5452,Myrtilo01@+0s[c1/h0]
2044708391415627982,JemappelleEve,False,1,1,Aaagiiisss,20,,,,0.0,0,1,1.0,Twitter for Android,1,,amplifier_suspect:1.00,17.5452,Aaagiiisss@+0s[c1/h0]
2044708564858458440,ellada24,True,1,1,LGkvas,8,,,,0.0,0,1,1.0,Twitter for Android,1,,amplifier_suspect:1.00,17.5452,LGkvas@+0s[c1/h0]
2044708796400865634,AppelaiosII,False,1,1,AgelisDimitris,90,,,,0.0,0,1,1.0,Twitter for iPhone,1,,mixed_behavior:1.00,17.5452,AgelisDimitris@+0s[c1/h0]
2044708913484894445,JemappelleEve,False,1,1,Aaagiiisss,20,,,,0.0,0,1,1.0,Twitter for Android,1,,amplifier_suspect:1.00,17.5452,Aaagiiisss@+0s[c1/h0]
2044709016828342777,LiberalGr,False,1,1,angelikitsakani,58,,,,0.0,0,1,1.0,Twitter for Android,1,,mixed_behavior:1.00,17.5452,angelikitsakani@+0s[c1/h0]
2044709338976075961,Dalbodog,False,1,1,dinoskonstantin,79,,,,0.0,0,1,1.0,Twitter for iPad,1,,amplifier_suspect:1.00,17.5452,dinoskonstantin@+0s[c1/h0]
2044709576356831434,NikKo_ial,False,1,1,dinoskonstantin,79,,,,0.0,0,1,1.0,Twitter for iPad,1,,amplifier_suspect:1.00,17.5452,dinoskonstantin@+0s[c1/h0]
2044709761275298152,ntalaoura,False,1,1,B2hBk3gFaa2fH4W,7,,,,0.0,0,1,1.0,Twitter Web App,,,amplifier_suspect:1.00,17.5452,B2hBk3gFaa2fH4W@+0s[c0/h0]
2044710387388441014,qasireu,False,1,1,46spiros,109,,,,0.0,0,1,1.0,Twitter for Android,1,,amplifier_suspect:1.00,17.5452,46spiros@+0s[c1/h0]
2044710901316550968,AdonisGeorgiadi,False,1,1,chrysib11,63,,,,0.0,0,1,1.0,Twitter for Android,1,,amplifier_suspect:1.00,17.5452,chrysib11@+0s[c1/h0]
2044711207236710707,BatmanTweetzz,False,1,1,MAVROJOHN,3,,,,0.0,0,1,1.0,Twitter for Android,,,retail_user:1.00,17.5452,MAVROJOHN@+0s[c0/h0]
