account_a,account_b,shared_retweets,jaccard,shared_within_15m,shared_within_60m
Briassulis,Nogate_T,3,0.0275,0,0
Briassulis,tasoskar11,3,0.0303,0,1
Briassulis,zneraida,3,0.0309,0,3
Catps66,SenzakiKamo,3,0.0366,0,2
Catps66,chrysib11,3,0.02,0,0
Catps66,johnblandos,3,0.0294,0,0
Catps66,xeniakan21,3,0.0417,0,0
DonConsclavios,Loxagos_Mark,3,0.0476,0,0
DonConsclavios,MasenkaMm230158,3,0.0349,0,2
DonConsclavios,Myrtilo01,3,0.0455,0,1
DonConsclavios,giannMak,3,0.0273,0,1
EthanAnargyrous,nickthegreek5,3,0.0107,0,1
Fay82776914F,MenoEdo,3,0.0244,0,1
Fotinh5,chrysib11,3,0.0259,0,2
Fotinh5,hatz_patty,3,0.0291,0,2
Fotinh5,sinakatsarou,3,0.0242,0,1
GeorgiadouL,TheMadoula,3,0.0732,0,0
GeorgiadouL,nickthegreek5,3,0.0106,0,0
GiotaPapapetrou,MariaDecokeke,3,0.0119,0,1
GiotaPapapetrou,johnblandos,3,0.0124,0,0
InafiZinaf1,nickthegreek5,3,0.0108,0,0
K_Sav215,Loxagos_Mark,3,0.0291,0,1
K_Sav215,MariaDecokeke,3,0.0226,0,2
K_Sav215,Myrtilo01,3,0.0283,0,0
K_Sav215,klikr,3,0.0303,0,2
LGkvas,Loxagos_Mark,3,0.0536,0,2
LGkvas,Nogate_T,3,0.0857,0,1
LGkvas,TsigkaEfi,3,0.0698,0,0
LGkvas,maus_miny,3,0.0682,0,0
Loxagos_Mark,Track11John,3,0.0119,0,0
Loxagos_Mark,giannMak,3,0.0259,0,0
Loxagos_Mark,johnblandos,3,0.0345,0,0
MKioulafa,galex1908,3,0.0238,0,0
MariaDecokeke,Nogate_T,3,0.0385,0,2
MariaDecokeke,lidakis_manos,3,0.0357,0,1
MasenkaMm230158,TheMadoula,3,0.0323,0,1
MasenkaMm230158,maus_miny,3,0.0375,0,0
MenoEdo,RockRock222555,3,0.0187,0,0
MenoEdo,evangelia_re,3,0.0259,0,0
MenoEdo,klikr,3,0.0213,0,0
MenoEdo,paliakaravana59,3,0.0137,0,1
Myrtilo01,angelikitsakani,3,0.0227,0,0
NodarasSpiros,nickthegreek5,3,0.0108,0,1
Nogate_T,NonameTZ,3,0.12,0,2
Nogate_T,mpantazo,3,0.0462,0,0
NonameTZ,chrysib11,3,0.0268,0,3
NonameTZ,giannMak,3,0.0323,0,1
NonameTZ,greek_paris_13,3,0.0714,0,2
