account_handle,cluster_id,cluster_size,anomaly_score,anomaly_rank,centroid_distance,embedding_x,embedding_y,coordination_score,retweet_ratio,network_weighted_degree
EAdamopoulou,1,156,0.5228,31,5.2298,-1.2859,1.6585,36.67,0.3333,0
NonameTZ,2,41,0.5218,32,4.5191,2.9828,-0.5478,62.08,1.0,16
chrysib11,2,41,0.5203,33,2.9726,8.0677,-0.1742,80.42,1.0,77
JSweetGR,1,156,0.5193,34,5.2143,1.6605,0.4025,35.42,0.8333,8
MasenkaMm230158,2,41,0.5179,35,2.4516,6.618,-1.3462,77.7,1.0,45
MenoEdo,2,41,0.5177,36,2.631,6.7112,-1.193,48.18,0.8857,62
greek_paris_13,2,41,0.517,37,4.1889,3.6835,0.7105,52.63,0.9412,2
johnblandos,2,41,0.515,38,2.2964,7.0312,-0.8762,60.91,0.875,40
silaserafim,1,156,0.5121,39,5.4308,2.0997,1.6351,64.46,1.0,2
galex1908,2,41,0.5075,40,3.9987,4.0979,1.374,68.33,1.0,15
InafiZinaf1,1,156,0.507,41,3.6216,-0.8035,-0.807,40.0,1.0,6
sinakatsarou,2,41,0.5062,42,2.3026,7.782,-0.635,64.05,0.973,49
anasiropiastos,1,156,0.5053,43,3.4677,0.1284,-1.0177,28.92,0.6,2
MoudilosV,1,156,0.5049,44,4.8479,-2.2544,-0.2839,0.0,0.0,0
Evitel_,1,156,0.5041,45,5.13,-1.8367,2.2514,60.0,1.0,0
MKioulafa,2,41,0.4988,46,3.0439,4.0747,0.3178,50.07,0.9091,10
ThanosKten,1,156,0.4986,47,4.8813,-2.0927,1.1431,60.0,1.0,0
TheMadoula,2,41,0.4978,48,3.6232,4.0993,0.1489,67.14,1.0,18
Aaagiiisss,2,41,0.4977,49,3.5189,4.7301,-0.0854,69.9,1.0,20
madonnamaniac,1,156,0.4968,50,4.3431,0.7639,0.927,65.83,1.0,0
LGkvas,2,41,0.4952,51,4.0022,3.5261,-0.1988,60.42,1.0,18
Fotinh5,2,41,0.4943,52,4.8333,2.5072,0.9317,69.58,1.0,8
SagamoreMount,1,156,0.4942,53,4.3643,1.1556,-1.3957,38.75,1.0,7
AnAthenianToLDN,1,156,0.4941,54,4.5009,0.7858,1.3079,35.13,0.6364,0
g_m_theo,1,156,0.494,55,4.1206,-1.2637,1.9079,36.67,0.3333,0
PitSpencer,2,41,0.4918,56,3.0315,4.685,-0.5434,70.72,1.0,29
steiger_st28082,1,156,0.4914,57,4.5168,1.7406,0.0982,32.92,0.6667,6
klikr,2,41,0.4883,58,3.1807,3.9793,-0.4951,51.38,0.9412,15
Volcom40893832,1,156,0.4861,59,4.0963,0.6842,0.1999,42.92,1.0,10
DvsDvs60195368,1,156,0.4855,60,4.9491,-2.4019,-0.0953,0.0,0.0,0
Greekprn,1,156,0.4847,61,4.1856,-1.3524,1.216,16.25,0.1429,0
