retweeter,source_author,count
AthanasiouCccp,RockRock222555,1
AthanasiouCccp,elonmusk,1
AthanasiouCccp,ksorbs,1
BananaJoeReload,2Cowman57,1
BananaJoeReload,Loustros01,1
BananaJoeReload,SinodinosP,1
BananaJoeReload,avgias,1
Briassulis,AdonisGeorgiadi,1
Briassulis,AgelisDimitris,1
Briassulis,Archibalidis,1
Briassulis,ArisBJJ,1
Briassulis,DesiBell2,1
Briassulis,Dora_Bakoyannis,1
Briassulis,FLapsani,1
Briassulis,GP_74_,1
Briassulis,Harhalas,1
Briassulis,Heraclis_82,1
Briassulis,KostasParaske17,1
Briassulis,MARIAZAHARAKI,1
Briassulis,Mirsini1946041,1
Briassulis,P159646899P,1
Briassulis,c20902f64c1141d,1
Briassulis,chacakhan,1
Briassulis,pavlmarin,1
Briassulis,tomanifesto,1
CMentat,iointelresearch,1
Catps66,AlexGavriilidis,1
Catps66,BenakisM,1
Catps66,FT,1
Catps66,IosifAvramoglou,1
Catps66,John_Fletcher70,1
Catps66,Mirsini1946041,1
Catps66,Monika29698435,1
Catps66,MsLouellaDeVil,1
Catps66,Polymarket,1
Catps66,billxronopoulos,1
Catps66,greekcitytimes,1
Catps66,jazz_daz,1
Catps66,ta_nea,1
Catps66,tomanifesto,1
Catps66,tzavelaniki,1
CharilaosPapad1,HFirstpriest,1
CharilaosPapad1,dimitris7987,1
CharilaosPapad1,gverikks,1
CharilaosPapad1,ivoutsas,1
CharilaosPapad1,silaserafim,1
ChrisDarko39,Tiramolas_,1
DDeppied,CharaKara,1
DimitrisP69501,Johnnyhoston_2,1
DonConsclavios,AC_PAOK,1
DonConsclavios,ATHANASIOSLAMP3,1
DonConsclavios,ArisPortosalte,1
DonConsclavios,Dumlada1926,1
DonConsclavios,PAOKbasketball,1
DonConsclavios,ellada24,1
DonConsclavios,giannopoulos35,1
DonConsclavios,mvlazaridis,1
DonConsclavios,omadaalithias,1
DonConsclavios,sport24,1
EAdamopoulou,GeorghyZhukov,1
EthanAnargyrous,BenakisM,1
EthanAnargyrous,YpenGr,1
EthanAnargyrous,steiger_st28082,1
Evitel_,failosK,1
Fay82776914F,AppelaiosII,1
Fay82776914F,John_Fletcher70,1
Fay82776914F,MariaKoki3,1
Fay82776914F,Notorio_rbg,1
Fay82776914F,kikig_3,1
Fay82776914F,taurothanos,1
Fay82776914F,zneraida,1
Fotinh5,AgelisDimitris,1
Fotinh5,ellada24,1
Fotinh5,iefimerida,1
Fotinh5,steiger_st28082,1
FrankiKostas,AdonisGeorgiadi,1
G4Heron,FanakidiF,1
G4Heron,NikolaosSampat1,1
G4Heron,Omirosb,1
G4Heron,ToXantho,1
G4Heron,arisoikon,1
G4Heron,d_asimina,1
G4Heron,giorgoschris2,1
G4Heron,greek_paris_13,1
G4Heron,missvasileiou,1
G4Heron,o_rein,1
G4Heron,tadeefi2603,1
G4Heron,to_vatraxi,1
G4Heron,trescommeilfaut,1
GP_74_,BenakisM,1
GP_74_,panta_tif,1
GiotaPapapetrou,17017Nov,1
GiotaPapapetrou,3_soprano,1
GiotaPapapetrou,ASYMBIBAST74855,1
GiotaPapapetrou,BrigTheoxaris,1
GiotaPapapetrou,CKontaxake45095,1
GiotaPapapetrou,Electra306,1
GiotaPapapetrou,Evgely,1
GiotaPapapetrou,FGKPARGA,1
GiotaPapapetrou,FotisLv,1
GiotaPapapetrou,GeorgeTzorakas,1
GiotaPapapetrou,IKOKKINAKOU,1
GiotaPapapetrou,LKleitou,1
GiotaPapapetrou,La_bri_ni13,1
GiotaPapapetrou,Manos39218510,1
GiotaPapapetrou,MariaKoki3,1
GiotaPapapetrou,Mastiha7,1
GiotaPapapetrou,NomizwZw,1
GiotaPapapetrou,P159646899P,1
GiotaPapapetrou,SPIROSTHEONE,1
GiotaPapapetrou,SofiaKonst6071,1
GiotaPapapetrou,SofiaPaschalid,1
GiotaPapapetrou,ToulaTour,1
GiotaPapapetrou,XristinaP81,1
GiotaPapapetrou,YiannisYiannis8,1
GiotaPapapetrou,_theoulis,1
GiotaPapapetrou,aigiotissa,1
GiotaPapapetrou,aitheriaV,1
GiotaPapapetrou,babasi_pa,1
GiotaPapapetrou,carico1970,1
