account_handle,in_member_list,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_account,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_created_at,default_profile,default_profile_image,is_blue_verified,profile_description_language,coordination_score
agnwstos_x_,True,4,1,3,0,0.25,1,1,1,0,0.0,Vathipigadi,1,1.0,2,0,4235,1618,45887,2014-03-16T21:44:53+02:00,True,False,False,en,20.0
NodarasSpiros,True,14,3,11,11,0.2143,1,3,3,1,0.3333,gverikks,1,0.3333,0,0,8696,2447,191042,2012-08-27T20:40:27+03:00,True,False,False,el,17.08
Greekprn,True,7,1,6,0,0.1429,1,1,1,0,0.0,nypost,1,1.0,6,0,6049,3860,157872,2011-09-20T18:04:14+03:00,False,False,False,en,16.25
DvsDvs60195368,True,9,0,9,1,0.0,0,0,0,0,0.0,,0,0.0,0,0,3465,3428,62433,2023-01-08T20:10:26+02:00,True,False,True,el,0.0
ellada24,True,6,0,6,0,0.0,0,0,0,0,0.0,,0,0.0,0,0,29792,1448,89304,2021-07-02T15:36:43+03:00,True,False,True,,0.0
Veltsi_Legacy,True,5,0,5,3,0.0,0,0,0,0,0.0,,0,0.0,0,0,1223,574,12772,2023-09-19T21:26:55+03:00,True,False,True,el,0.0
John_Fletcher70,True,4,0,4,3,0.0,0,0,0,0,0.0,,0,0.0,0,2,4246,955,118492,2013-07-10T19:14:06+03:00,False,False,False,en,0.0
MoudilosV,True,4,0,4,2,0.0,0,0,0,0,0.0,,0,0.0,4,0,1877,1736,24621,2009-09-07T17:53:59+03:00,False,False,True,el,0.0
olofwti_agapi,True,4,0,4,0,0.0,0,0,0,0,0.0,,0,0.0,4,0,348,134,5573,2022-11-25T14:04:16+02:00,True,False,False,el,0.0
Wwwwww42362442,True,3,0,3,3,0.0,0,0,0,0,0.0,,0,0.0,0,0,1977,3158,28015,2017-09-27T14:51:47+03:00,True,False,False,el,0.0
gospodinmedvedd,True,3,0,3,1,0.0,0,0,0,0,0.0,,0,0.0,1,1,340,369,4828,2023-08-02T20:25:09+03:00,True,False,False,en,0.0
n_palaiopanou,False,3,0,3,1,0.0,0,0,0,0,0.0,,0,0.0,0,3,,,,,,,,,0.0
trescommeilfaut,True,3,0,3,0,0.0,0,0,0,0,0.0,,0,0.0,0,0,1736,845,11916,2017-11-20T12:27:04+02:00,False,False,False,el,0.0
Apstolos14616,True,2,0,2,1,0.0,0,0,0,0,0.0,,0,0.0,0,0,142,168,2079,2026-01-25T07:58:40+02:00,True,True,True,el,0.0
AstyMpekas,True,2,0,2,2,0.0,0,0,0,0,0.0,,0,0.0,0,3,311,153,6981,2024-10-08T16:33:14+03:00,True,False,False,qst,0.0
Rinokeros2023,True,2,0,2,0,0.0,0,0,0,0,0.0,,0,0.0,2,0,27,114,2947,2023-02-10T19:30:09+02:00,True,False,False,,0.0
Tiramolas_,True,2,0,2,0,0.0,0,0,0,0,0.0,,0,0.0,2,2,88,100,979,2026-01-26T16:48:39+02:00,True,False,False,el,0.0
nikos_aggelakis,True,2,0,2,1,0.0,0,0,0,0,0.0,,0,0.0,0,1,554,1161,11577,2011-12-13T11:25:01+02:00,True,False,False,el,0.0
omadaalithias,True,2,0,2,0,0.0,0,0,0,0,0.0,,0,0.0,0,0,110821,581,15850,2012-09-19T13:59:05+03:00,False,False,True,el,0.0
4lhc_athens,True,1,0,1,0,0.0,0,0,0,0,0.0,,0,0.0,0,0,234,244,3411,2025-09-25T17:51:19+03:00,True,False,False,,0.0
