account_handle,tweet_count,retweet_count,original_count,quote_count,retweet_ratio,first_retweeter_count,unique_retweeted_tweet_count,unique_retweeted_author_count,retweets_to_member_count,retweets_to_member_ratio,top_amplified_count,top_amplified_share,hashtag_count,mention_count,followers_count,friends_count,statuses_count,account_age_days,default_profile,default_profile_image,is_blue_verified,network_component_size,network_neighbor_count,network_weighted_degree,network_within_15m_weight,network_within_60m_weight,network_max_shared_edge,coordination_score,analyst_label
PiraeusStef,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,2057,2281,39747,5460,0,0,0,0,0,0,0,0,0,46.25,
RGialama8386,1,1,0,1,1.0,1,1,1,0,0.0,1,1.0,0,0,92,381,1877,342,1,0,0,0,0,0,0,0,0,46.25,
agapornis_mask,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,187,462,6707,5016,1,0,0,0,0,0,0,0,0,46.25,
akrokentrwos_2,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,15197,1575,47270,2357,1,0,0,0,0,0,0,0,0,46.25,
bobidion,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,5706,2890,51583,5262,0,0,0,0,0,0,0,0,0,46.25,
bolltzmann,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,13394,5155,37426,4471,0,0,1,0,0,0,0,0,0,46.25,
economi94461498,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,1,0,1353,327,225180,2313,1,0,0,0,0,0,0,0,0,46.25,
kokkoriss,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,601,2756,33185,5099,1,0,0,0,0,0,0,0,0,46.25,
le1li,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,756,932,6263,5300,0,0,0,0,0,0,0,0,0,46.25,
matrixneo1979,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,3271,1644,28912,3007,1,0,0,0,0,0,0,0,0,46.25,
papa_vaso,1,1,0,0,1.0,1,1,1,0,0.0,1,1.0,0,0,1319,1352,25290,4053,0,0,0,0,0,0,0,0,0,46.25,
